publish_date,headline_text,is_kashmir,is_pakistan
20010102,Fissures in Hurriyat over Pak visit,TRUE,TRUE
20010102,India; Pak exchange lists of N-plants,FALSE,TRUE
20010103,Hurriyat undecided over team to Pakistan,TRUE,TRUE
20010104,Ramgarh beat Royal Kashmir in Hanut Cup polo,TRUE,FALSE
20010108,Frontrunner for key US post seen having Pak tilt,FALSE,TRUE
20010124,Govt extends J&K ceasefire by a month,TRUE,FALSE
20010127,Pak brothers arrested in US sting operation,FALSE,TRUE
20010127,Indian; Pakistani delegates clash at Disarmament Conference,FALSE,TRUE
20010127,Indians; Pakistanis con S African women into marriages,FALSE,TRUE
20010127,Pak welcomes train accord extension with India,FALSE,TRUE
20010202,Pak relief team goes on sari trail,FALSE,TRUE
20010203,France putting appropriate pressure on Pak: India,FALSE,TRUE
20010204,Quake effect: Ties with Pak 'thawing'; PM's Japan trip off,FALSE,TRUE
20010205,Rivalry between Indian; Pakistani workers in UK,FALSE,TRUE
20010205,Benazir hails India's 'proactive' role in Kashmir,TRUE,FALSE
20010205,US Congressional team to visit India; Pakistan,FALSE,TRUE
20010207,Quake diplomacy could work for India; Pakistan',FALSE,TRUE
20010211,Is Clinton coming for Kashmir mediation?,TRUE,FALSE
20010212,J&K militants step up heat; use ceasefire to regroup,TRUE,FALSE
20010216,4 killed in police firing on J&K protesters,TRUE,FALSE
20010218,Indo-Pak ties on upswing; says Pak ex-minister,FALSE,TRUE
20010222,Asia Foundation favors US role in Kashmir dispute,TRUE,FALSE
20010226,Civilian deaths swelling J&K militant ranks,TRUE,FALSE
20010301,Pak to start serial production of short-range missiles',FALSE,TRUE
20010326,Pak air force to test missiles; rockets today,FALSE,TRUE
20010406,Let's talk; Centre tells Hurriyat,TRUE,FALSE
20010407,Pak Supreme Court overturns Benazir's conviction,FALSE,TRUE
20010414,Arrested Pak diplomat linked to IC 814 hijacking,FALSE,TRUE
20010414,Ties with Iran not at Pak's expense: PM,FALSE,TRUE
20010419,Kashmiriyat: Gift Of Rishi-Sufi Order,TRUE,FALSE
20010421,Rocca's ascent is bad news for Pakistan,FALSE,TRUE
20010425,Clear stand on Pakistan or else: BCCI to govt,FALSE,TRUE
20010427,Hurriyat puts a price on peace: No Pak; no talks,TRUE,TRUE
20010505,US voted off UN human rights panel; Pakistan in,FALSE,TRUE
20010516,Pak not yet in rogues gallery; says US,FALSE,TRUE
20010517,Underdogs Pakistan banking on history,FALSE,TRUE
20010522,Laloo for Indo-Pak cricket match in Patna,FALSE,TRUE
20010522,Laloo bowls for 'sadbhawna' between India; Pak,FALSE,TRUE
20010528,First consignment of areca to Pak soon,FALSE,TRUE
20010528,Kashmiri Sikhs protest forced entry into Sikh home,TRUE,FALSE
20010529,India rules out referendum in Kashmir,TRUE,FALSE
20010529,Quick breakthrough unlikely: Pak envoy,FALSE,TRUE
20010529,Hurriyat should not be made part of talks: CWC,TRUE,FALSE
20010529,Jaswant against Musharraf meeting Hurriyat,TRUE,FALSE
20010529,Indo-Pak ties: From peace-pipe to pipeline,FALSE,TRUE
20010530,Crackdown against Pakistanis in India soon,FALSE,TRUE
20010530,Pak plans to spray coal dust over glaciers flayed,FALSE,TRUE
20010620,Swearing-in not to affect Indo-Pak summit',FALSE,TRUE
