publish_date,headline_text,is_kashmir,is_pakistan
20010102,Fissures in Hurriyat over Pak visit,True,True
20010102,India; Pak exchange lists of N-plants,False,True
20010102,Fissures in Hurriyat over Pak visit,True,True
20010102,India; Pak exchange lists of N-plants,False,True
20010103,Hurriyat undecided over team to Pakistan,True,True
20010104,Ramgarh beat Royal Kashmir in Hanut Cup polo,True,False
20010108,Frontrunner for key US post seen having Pak tilt,False,True
20010108,Frontrunner for key US post seen having Pak tilt,False,True
20010124,Govt extends J&K ceasefire by a month,True,False
20010127,Pak brothers arrested in US sting operation,False,True
20010127,Indian; Pakistani delegates clash at Disarmament Conference,False,True
20010127,Indians; Pakistanis con S African women into marriages,False,True
20010127,Pak welcomes train accord extension with India,False,True
20010202,Pak relief team goes on sari trail,False,True
20010203,France putting appropriate pressure on Pak: India,False,True
20010203,France putting appropriate pressure on Pak: India,False,True
20010204,Quake effect: Ties with Pak 'thawing'; PM's Japan trip off,False,True
20010205,Rivalry between Indian; Pakistani workers in UK,False,True
20010205,Benazir hails India's 'proactive' role in Kashmir,True,False
20010205,US Congressional team to visit India; Pakistan,False,True
20010207,'Quake diplomacy could work for India; Pakistan',False,True
20010211,Is Clinton coming for Kashmir mediation?,True,False
20010212,J&K militants step up heat; use ceasefire to regroup,True,False
20010216,4 killed in police firing on J&K protesters,True,False
20010218,Indo-Pak ties on upswing; says Pak ex-minister,False,True
20010222,Asia Foundation favors US role in Kashmir dispute,True,False
20010226,Civilian deaths swelling J&K militant ranks,True,False
20010301,'Pak to start serial production of short-range missiles',False,True
20010301,'Pak to start serial production of short-range missiles',False,True
20010326,Pak air force to test missiles; rockets today,False,True
20010406,Let's talk; Centre tells Hurriyat,True,False
20010407,Pak Supreme Court overturns Benazir's conviction,False,True
20010414,Arrested Pak diplomat linked to IC 814 hijacking,False,True
20010414,Ties with Iran not at Pak's expense: PM,False,True
20010419,Kashmiriyat: Gift Of Rishi-Sufi Order,True,False
20010421,Rocca's ascent is bad news for Pakistan,False,True
20010425,Clear stand on Pakistan or else: BCCI to govt,False,True
20010427,Hurriyat puts a price on peace: No Pak; no talks,True,True
20010505,US voted off UN human rights panel; Pakistan in,False,True
20010516,Pak not yet in rogues gallery; says US,False,True
20010517,Underdogs Pakistan banking on history,False,True
20010522,Laloo for Indo-Pak cricket match in Patna,False,True
20010522,Laloo bowls for 'sadbhawna' between India; Pak,False,True
20010528,First consignment of areca to Pak soon,False,True
20010528,Kashmiri Sikhs protest forced entry into Sikh home,True,False
20010529,India rules out referendum in Kashmir,True,False
20010529,Quick breakthrough unlikely: Pak envoy,False,True
20010529,Hurriyat should not be made part of talks: CWC,True,False
20010529,Jaswant against Musharraf meeting Hurriyat,True,False
20010529,Indo-Pak ties: From peace-pipe to pipeline,False,True
20010529,India rules out referendum in Kashmir,True,False
20010530,Crackdown against Pakistanis in India soon,False,True
20010530,Crackdown against Pakistanis in India soon,False,True
20010530,Pak plans to spray coal dust over glaciers flayed,False,True
20010530,Pak plans to spray coal dust over glaciers flayed,False,True
20010530,Pak plans to spray coal dust over glaciers flayed,False,True
20010620,'Swearing-in not to affect Indo-Pak summit',False,True
20010620,Militants flee Kupwara mosque; 7 killed in J&K,True,False
20010620,Hurriyat sees smooth Indo-Pak talks,True,True
